No.;English;Latin;Oscan;Umbrian;Old Sabellic;Latin_cognacy;Oscan_cognacy;Umbrian_cognacy;Other_cognacy
64;blood;sanguis;;;;1;;;
65;bone;os;;;;1;;;
66;fat (noun);pinguamen;;;;1;;;
67;egg;ovum;;;;1;;;
68;horn;cornu;;;;1;;;
69;tail;cauda;;;;1;;;
70;feather;penna;;;;1;;;
71;hair;pilus;;;;1;;;
72;head;caput;;;;1;;;
73;ear;auris;;;;1;;;
74;eye;oculus;;;;1;;;
75;nose;nasus;;;;1;;;
76;mouth;os;;;;1;;;
77;tooth;dens;;;;1;;;
78;tongue (organ);lingua;fangvam;;;1;1;;
79;fingernail;unguis;;;;1;;;
80;foot;pes;pedú;persi;;1;1;1;
81;leg;crus;;;;1;;;
82;knee;genu;;;;1;;;
83;hand;manus;manim;manf;manus;1;1;1;1
84;wing;ala;;;;1;;;
85;belly;venter;;;;1;;;
86;guts;viscera;;arvia;;1;;2;
87;neck;cervix;;;;1;;;
88;back;tergum;;;;1;;;
89;breast;mamma;;;;1;;;
90;heart;cor;;;;1;;;
91;liver;iecur;;iepru;;1;;1;
92;to drink;bibo;;;;1;;;
93;to eat;edo;edum;;;1;1;;
94;to bite;mordo;;;;1;;;
95;to suck;sugo;;feliuf;;1;;;
96;to spit;supo;;;;1;;;
97;to vomit;vomo;;;;1;;;
98;to blow;inflo, flo;;;;1;;;
99;to breathe;respiro;;;;1;;;
100;to laugh;rideo;;;;1;;;
101;to see;video;;uirseto;videtas;1;;1;1
102;to hear;audio;;;;1;;;
103;to know;scio;;;;1;;;
104;to think;cogito, puto, existimo;;;;1;;;
105;to smell;olfacio;;;;1;;;
106;to fear;timeo;;;;1;;;
107;to sleep;dormio;;;veiat;1;;;2
108;to live;vivo;;;;1;;;
109;to die;morior;;;;1;;;
110;to kill;neco;;;;1;;;
111;to fight;pugno;;;;1;;;
112;to hunt;venor;;;;1;;;
113;to hit;pello;;;;1;;;
114;to cut;seco;;iseçeles;;1;;;
115;to split;scindo;;vetu?;;1;;;
116;to stab;pungo;;;;1;;;
117;to scratch;scabo;;;;1;;;
118;to dig;fodio;;;;1;;;
119;to swim;no, nato;;;;1;;;
120;to fly;volo;;;;1;;;
121;to walk;ambulo;;;;1;;;
122;to come;venio;cebnust;benus;;1;1;1;
123;to lie (as in a bed);cubo;cibat;;qupat;1;1;;1
124;to sit;sedeo;;sersitu;;1;;1;
125;to stand;sto;stahint;staheren;;1;1;1;
126;to turn (intransitive);verto;;;;1;;;
127;to fall;cado;;;;1;;;
128;to give;do;deded;dede;tetet;1;1;1;1
129;to hold;teneo;;tenitu;;1;;1;
130;to squeeze;exprimo;;;;1;;;
131;to rub;frico;;;;1;;;
132;to wash;lavo;;anderuomu;;1;;;
133;to wipe;tergeo;;;;1;;;
134;to pull;traho;;;;1;;;
135;to push;pello;;;;1;;;
136;to throw;iacio;;;;1;;;
137;to tie;ligo;;;;1;;;
138;to sew;suo;;;;1;;;
139;to count;numero;;;;1;;;
140;to say;dico;deíkum;deitu;;1;1;1;
141;to sing;cano;;kanetu;;1;;1;
142;to play;ludo;;ařkani;;1;;;
143;to float;fluctuo;;;;1;;;
144;to flow;fluo;;;;1;;;
145;to freeze;gelo;;;;1;;;
146;to swell;tumeo;;;;1;;;
147;sun;sol;;;;1;;;
148;moon;luna;;;;1;;;
149;star;stella;;;;1;;;
150;water;aqua;aapas;utur;;1;2;3;
151;rain;pluvia;;;;1;;;
152;river;flumen, fluvius, amnis;;;;1;;;
153;lake;lacus;;;;1;;;
154;sea;mare;;;;1;;;
155;salt;sal;;salu;;1;;1;
156;stone;saxum, lapis, petra;kúru;vapẹ[řia;qora;1;2;1;2
157;sand;harena;;;;1;;;
158;dust;pulvis;;;;1;;;
159;earth;humus, terra, ager;;;;1;;;
160;cloud;nubes, nebula;;;;1;;;
