Order;Lexeme;Umbrian_attested;Oscan_attested;include;comment;INCLUDE;sample2;sample;meaning;umbrian;oscan;latin;Frequency;meaning;English;Dutch;German;;
22;en;"e:; em:; em:; em:; e:; e:; em:; e:; e:; e:; e:; e:; e:; e; e; e:; e; e:; e; e; en:; en:; en:; e:; e:; e.; e; e; e.; e; e.; e.; e; e; e.; e.; e.; e; e.; e.; e.; e.; e.; e.; e.; e.; e.; e.; e.; e.; e.; e.; e.; e; e.; e.; e; e.; e.; e.; e.; e; e.; e.; e.";"en⁝; en:; en:; en·; e(n)·; en; en; en; en; [en";YES;;yes;yes;yes;in;E*;En;in;;in;in;in;in;;
97;nertero;"nertru; nertru.; nertru; nertru";n{·}eṛ·;INCOMPLETE;;yes;yes;yes;left;ner;ner;;;left;lEft;liNks;liNks;;
1;faky;"fetu:; feitu:; feitu:; feitu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; feit|u; feitu:; feitu; feitu:; feitu:; fetu:; fetu:; fetu:; feitu:; fetu; feitu:; feitu:; feitu:; feitu; fetu:; feṭu:; fetu:; feitu:; fetu:; feitu:; feitu:; fetu:; fakurent:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; fetu:; façiu:; façia:; feitu:; fetu:; fetu:; feta; façu:; fetu:; fetu:; feitu:; feitu:; feitu:; fakust:; feia:; feia:; fetu.; fetu.; fetu.; fetu; fetu.; fetu.; fetu; fetu.; fetu; fetu.; fetu; fetu.; fetu; feitu.; fetu.; fetu; fetu.; fetu; fetu.; fetu.; fetu.; fetu.; fetu.; fetu.; feitu.; fetu.; fetu.; fetu.; fetu.; fetu.; fetu; fetu.; fetu.; fetu.; fetu.; fetu; fetu; fetu.; feitu; fetu.; fetu.; feitu.; feitu.; fetu.; fetu.; fetu.; fetu.; fetu.; fetu.; fetu.; feetu.; fetu.; fetu.; fetu.; facurent.; fetu.; fetu; fetu.; fetu.";"αναfακετ; fakiíad; ανα[fακ]; αfακειτ; fice(t); fifikus; perfa[kum:; perfakum]; factud; fefacid; fefacust; fefacust; <f>acus; facus; fe<f>_|[acust][-]";YES;;yes;yes;yes;make;faSyom;fakyom;fakErE;;make;;;;;
4;opesaa;"osatu.; osatu.";"ups(ed); upsed; ουψε; upsatuh⁝; upsatuh:; upsatuh:; upsatuh:; upsatuh:; ουπϲενϲ; ο]υ[πϲ]ενϲ; úpsannúm·; úpsa[nnam·; úps]annụ́(m)·; [ωπϲανναμ]; úpsannam; [-]d·; ụ́[psed][-]; upse(ns); úpsan(nam); uupsens·; up]sed·; upsens·; [úps]ann(am); úpsann]ụ́(m)·; ú; úpsannúm; upsed; úpsed; (ω)πϲανω·; ụ́p̣ṣannạṃ:; [-][úpsannú·; ups(e)d); úpsannúm·; úpsed·; upsẹ[d]; ups(e)d):";YES;;yes;yes;yes;make;osato;opsato;opErator;;make;mek;mak3n;max3n;;
66;neer;"nerf.; nerf.; nerf.; nerf.; nerf.; nerf.; nerf.; nerf.; nerf.; nerf; nerus.; nerus.; nerus.; nerf.; nerus.; nerf.; nerf.; nerus.";"niir]; niir:; niir; niir; nerum; nerum_|; n(erúm); n(erúm)·; nee[rúm][-]; n(erúm); (nerú(m)<·>; n(erúm)";YES;;yes;yes;yes;man;nErEr;nErEys;;;man;mEn;man;man;;
35;kertesnaa;çersnatur:;"ker|ssnaís; kersnu";YES;;yes;yes;yes;meal;SE8no;kErsno;kEna;;meal;mil;maltEt;malcait;;
96;noomen;"numem:; numem:; nomne.; nomne; nomne; nomne.; nomne.; nomne; nomne; nome.; nomne.; nomne.; nome.; nomne.; nomne.; nomne; nomne; nomne; nomne; nome.; nomne.; nomne.; nome.; nomne.; nomne.; nomne; nomne; nomne; nomne; nomne.; nomne.; nome.; nomne.; nomne.; nomne; nomne; nomne; nomne; nomne; nomne; nomne; nomne.; nomne; nomne; nomne.; nomne.; nome.; nomne.; nomne.; nomne; nomne; nomne; nomne; nomne.; nomne.; nomne; nomne; nome.; nomne.; nomne.; nome.; nomne.; nomne.; nomne; nomne; nomner.; nome; nomner.; nomne.; nomne.; nomne; nomne; nomne.; nomner; nomne.; nomne.; |nomne.; nome.; nomne.; nomne.; nomne; nomne; nomne; nomne; nomne; nomne; nomne.; nomne.; nome.; nomne.; nomne.; nomne; nomne; nomne; nomne; nome.; nomner.; nomne.; nomne.";numneís·;YES;;yes;yes;yes;name;nomnEr;nomnEys;nominis;;name;nem;nam;nam3;;
15;nessemo;"nesimei.; nesimei.";"n[e]ssimas:; ne|ssimass·; nessimas·; nesimum; nesimois.; nesimum; ne[ssimú·";YES;;yes;yes;yes;next;nEsimas;nEsimas;;;next;nEkst;nast;nExst;;
45;neiip;"neip; neip:; neip.; nep.; neip.; neip; neip; neip.; neip; neip.";"[-][νει]π; νε[ιπ][-]; νειπ; nep·; nep·; nep·; nep·; ṇep·; nep·; neip:; neip:; neip:; neip; n(e)ip̣:; n(e)ip:; n(e)ip:; n(e)ip; ne(i)p:; nep; neip; nep; nep·; nep·";YES;;yes;yes;yes;nor;nEp;nEp;nEkw~E;;nor;nor;nox;nox;;
54;awti;"ute:; ute:; ute:; ute:; ote.; ote.; ote.; ote.; ote.; ote.";"αυτι·; auti; auti; auti; auti; [a]uti; [a]u[ti";YES;;yes;yes;yes;or;ote;awti;awt;;or;or;of;od3r;;
