order;id;name;field;latin;selection;distance_from_hearth;dfh_comment;latin_source;latin_score;sabellic;sabellic_source;sabellic_score
254;3#865;the quail;Animals;coturnix;selection;1;wild animals;Latin;0;;;
255;3#866;the raccoon;Animals;;anachronism;1;wild animals;;;;;
256;3#869;the squirrel;Animals;sciurus;selection;1;wild animals;Greek;1;;;
257;3#871;the reindeer/caribou;Animals;reno;selection;1;wild animals;Germanic Celtic;1;;;
258;3#872;the elk/moose;Animals;alces;selection;1;wild animals;Germanic;1;;;
259;3#873;the beaver;Animals;castor;selection;1;wild animals;Greek;1;;;
260;3#88;the kangaroo;Animals;;anachronism;1;wild animals;;;;;
261;3#89;the anteater;Animals;;anachronism;1;wild animals;;;;;
262;3#9;the jaguar;Animals;leopardus, panthera;selection;1;wild animals;Greek;1;;;
263;3#91;the firefly;Animals;musca ignifera;compound;1;wild animals;;;;;
264;3#913;the chameleon;Animals;chamaeleon;selection;1;wild animals;Greek;1;;;
265;3#917;the buffalo;Animals;bos bubalus?;compound;1;wild animals;;;;;
266;3#92;the butterfly;Animals;papilio;selection;1;wild animals;Latin;0;;;
267;3#93;the grasshopper;Animals;gryllus;selection;1;wild animals;Greek;1;;;
268;3#94;the snail;Animals;cochlea;selection;1;wild animals;Greek;1;;;
269;3#95;the frog;Animals;rana;selection;1;wild animals;Latin;0;;;
270;3#96;the lizard;Animals;lacerta;selection;1;wild animals;Greek;0.25;;;
271;3#97;the crocodile or alligator;Animals;crocodilus;selection;1;wild animals;Greek;1;;;
272;3#98;the turtle;Animals;testudo;selection;1;wild animals;substrate;0.5;;;
273;3#99;the tapir;Animals;;selection;1;wild animals;;;;;
274;4#11;the body;The body;corpus;selection;0;body parts are universal;Latin;0;;;
275;4#12;the skin or hide;The body;cutis;selection;0;body parts are universal;Latin;0;;;
276;4#13;the flesh;The body;caro;selection;0;body parts are universal;Latin;0;;;
277;4#14;the hair;The body;capillus;selection;0;body parts are universal;Latin;0;;;
278;4#142;the beard;The body;barba;selection;0;body parts are universal;substrate;0.25;;;
279;4#144;the body hair;The body;pilus;selection;0;body parts are universal;Latin;0;;;
280;4#145;the pubic hair;The body;pilus;nonspecific;0;body parts are universal;;;;;
281;4#146;the dandruff;The body;furfures capitis;compound;0;body parts are universal;;;;;
282;4#15;the blood;The body;sanguis;selection;0;body parts are universal;Latin;0;;;
283;4#151;the vein or artery;The body;vena, arteries;selection;0;body parts are universal;Latin;0;;;
284;4#16;the bone;The body;os;selection;0;body parts are universal;Latin;0;;;
285;4#162;the rib;The body;costa;selection;0;body parts are universal;Latin;0;vatuva;Sabellic;0
286;4#17;the horn;The body;cornu;selection;0;body parts are universal;Latin;0;;;
287;4#18;the tail;The body;cauda;selection;0;body parts are universal;Latin;0;;;
288;4#19;the back;The body;tergum;selection;0;body parts are universal;Latin;0;;;
289;4#191;the spine;The body;spina;selection;0;body parts are universal;Latin;0;;;
290;4#2;the head;The body;caput;selection;0;body parts are universal;Latin;0;;;
291;4#201;the temples;The body;tempus;selection;0;body parts are universal;Latin;0;;;
292;4#202;the skull;The body;calvaria;selection;0;body parts are universal;Latin;0;;;
293;4#203;the brain;The body;cerebrum;selection;0;body parts are universal;Latin;0;;;
294;4#204;the face;The body;os;selection;0;body parts are universal;Latin;0;;;
295;4#205;the forehead;The body;frons;selection;0;body parts are universal;Latin;0;;;
296;4#207;the jaw;The body;maxilla;selection;0;body parts are universal;Latin;0;;;
297;4#208;the cheek;The body;gena;selection;0;body parts are universal;Latin;0;;;
298;4#209;the chin;The body;mentum;selection;0;body parts are universal;Latin;0;;;
299;4#21;the eye;The body;oculus;selection;0;body parts are universal;Latin;0;;;
300;4#212;the eyebrow;The body;supercilium;selection;0;body parts are universal;Latin;0;;;
301;4#213;the eyelid;The body;palpebra;selection;0;body parts are universal;Latin;0;;;
302;4#214;the eyelash;The body;palpebrarum pili;compound;0;body parts are universal;Latin;0;;;
303;4#215;to blink;The body;conniveo;selection;0;body parts are universal;Latin;0;;;
304;4#22;the ear;The body;auris;selection;0;body parts are universal;Latin;0;;;
305;4#221;the earlobe;The body;auricula infima;compound;0;body parts are universal;;;;;
306;4#222;the earwax;The body;sordes aurium;compound;0;body parts are universal;;;;;
307;4#23;the nose;The body;nasus;selection;0;body parts are universal;Latin;0;;;
308;4#231;the nostril;The body;naris;selection;0;body parts are universal;Latin;0;;;
309;4#232;the nasal mucus;The body;mucus;selection;0;body parts are universal;Latin;0;;;
310;4#24;the mouth;The body;os;selection;0;body parts are universal;Latin;0;;;
311;4#241;the beak;The body;rostrum;selection;0;body parts are universal;Latin;0;;;
312;4#25;the lip;The body;labrum;selection;0;body parts are universal;substrate;0.25;;;
313;4#26;the tongue;The body;lingua;selection;0;body parts are universal;Latin;0;fangvam;Sabellic;0
314;4#27;the tooth;The body;dens;selection;0;body parts are universal;Latin;0;;;
315;4#271;the gums;The body;gingiva;selection;0;body parts are universal;Latin;0;;;
316;4#272;the molar tooth;The body;dens molaris;compound;0;body parts are universal;Latin;0;;;
317;4#28;the neck;The body;collum;selection;0;body parts are universal;Latin;0;;;
318;4#281;the nape of the neck;The body;cervix;selection;0;body parts are universal;Latin;0;;;
319;4#29;the throat;The body;fauces;selection;0;body parts are universal;Latin;0;;;
320;4#3;the shoulder;The body;humerus;selection;0;body parts are universal;Latin;0;uze;Sabellic;0
321;4#301;the shoulderblade;The body;scapula;selection;0;body parts are universal;substrate;0.25;;;
322;4#302;the collarbone;The body;jugulum;selection;0;body parts are universal;Latin;0;;;
323;4#31;the arm;The body;brachium;selection;0;body parts are universal;Greek;1;;;
