"Date","fit","se","lower","upper"
-505.3,0.0396276620889302,0.0166245781471659,0.017225905756582,0.0885376488491348
-504.7,0.0397303831406139,0.0166375341126502,0.0172963440069892,0.0886376942307621
-504.1,0.0398333594171747,0.0166504460517161,0.0173670621601056,0.0887378560392105
-503.5,0.0399365914954403,0.0166633136935439,0.0174380612585368,0.0888381344715444
-502.9,0.0400400799532438,0.0166761367666438,0.0175093423481449,0.0889385297257059
-502.3,0.0401438253694246,0.016688914998858,0.0175809064780527,0.0890390420005224
-501.7,0.0402478283238279,0.016701648117363,0.0176527547006474,0.0891396714957135
-501.1,0.040352089397305,0.0167143358486712,0.0177248880715845,0.0892404184118987
-500.5,0.0404566091717138,0.0167269779186331,0.0177973076497917,0.0893412829506049
-499.8,0.0405788766554149,0.0167416689227266,0.0178821603091615,0.0894591071776884
-499.2,0.0406839589493994,0.016754211116147,0.0179552036514432,0.0895602272609071
-498.6,0.0407893017935049,0.0167667067757397,0.0180285365758937,0.0896614656108854
-498,0.0408949057737829,0.0167791556246213,0.0181021601551132,0.089762822433012
-497.4,0.041000771477292,0.016791557385258,0.0181760754649921,0.0898642979336221
-496.8,0.0411068994920971,0.016803911779468,0.0182502835847144,0.0899658923200059
-496.2,0.0412132904072702,0.0168162185284241,0.018324785596761,0.0900676058004166
-495.6,0.0413199448128901,0.016828477352656,0.0183995825869129,0.0901694385840779
-495,0.0414268633000426,0.0168406879720529,0.0184746756442539,0.0902713908811928
-494.4,0.04153404646082,0.0168528501058662,0.0185500658611738,0.0903734629029516
-493.8,0.0416414948883218,0.0168649634727119,0.0186257543333713,0.09047565486154
-493.2,0.0417492091766541,0.0168770277905736,0.0187017421598567,0.0905779669701479
-492.6,0.04185718992093,0.0168890427768048,0.0187780304429544,0.0906803994429778
-492,0.0419654377172692,0.0169010081481322,0.0188546202883061,0.0907829524952532
-491.4,0.0420739531627983,0.0169129236206581,0.0189315128048726,0.0908856263432276
-490.8,0.0421827368556504,0.0169247889098636,0.0190087091049366,0.0909884212041928
-490.2,0.0422917893949652,0.0169366037306115,0.0190862103041051,0.0910913372964883
-489.6,0.042401111380889,0.0169483677971492,0.0191640175213112,0.09119437483951
-489,0.0425107034145744,0.0169600808231119,0.0192421318788169,0.0912975340537189
-488.4,0.0426205660981803,0.0169717425215257,0.0193205545022144,0.0914008151606511
-487.8,0.0427307000348717,0.0169833526048107,0.0193992865204284,0.0915042183829261
-487.2,0.0428411058288197,0.0169949107847846,0.0194783290657181,0.0916077439442568
-486.6,0.0429517840852013,0.0170064167726654,0.0195576832736785,0.0917113920694585
-486,0.0430627354101991,0.0170178702790752,0.0196373502832424,0.0918151629844587
-485.4,0.0431739604110014,0.0170292710140438,0.0197173312366815,0.0919190569163065
-484.8,0.0432854596958016,0.0170406186870116,0.0197976272796082,0.0920230740931824
-484.2,0.0433972338737987,0.0170519130068338,0.0198782395609767,0.0921272147444086
-483.6,0.0435092835551961,0.0170631536817835,0.0199591692330842,0.092231479100458
-483,0.0436216093512024,0.0170743404195556,0.0200404174515719,0.092335867392965
-482.4,0.0437342118740305,0.0170854729272708,0.020121985375426,0.0924403798547351
-481.8,0.0438470917368975,0.0170965509114789,0.0202038741669786,0.0925450167197558
-481.2,0.0439602495540245,0.0171075740781631,0.0202860849919083,0.0926497782232062
-480.6,0.0440736859406365,0.0171185421327438,0.020368619019241,0.092754664601468
-480,0.0441874015129617,0.0171294547800826,0.0204514774213501,0.092859676092136
-479.4,0.0443013968882315,0.0171403117244864,0.0205346613739568,0.0929648129340286
