;Text_ID;Sentence_ID;Sentence_position;Token_ID;Token_position;Token;Token_clean;Relation;Head;Analysis_ID;Lemma;Lemma_simplex;Lemma_frequency;Language;Morphological_type;Part_of_speech;Stem;Tense;Mood;Diathesis;Person;Number;Gender;Case;Category;POS;Tags;Meaning;Meaning_category;Meaning_subcategory;Classical_Latin_equivalent;Classical_Latin_Form;TAM_analysis;Standard_aligned;Form_aligned;Sentence;Section;Reference;Name;Language_(text);Language_family;Language_variety;Script;Date_after;Date_before;Provenance;GeoID;Latitude;Longitude;Finite_verb;Analysable_token;Text_length;Trismegistos_ID;Date;Century;Heads;Siblings;Constituent;Verbal_head;Main_clause;Order;Check;Konneker
143471;2402;3385;1;143471;5;re.i.tiia.i.;reitiiai;OBJ;143468;1470546.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;nego na.s.to ka.n.ta ruman re.i.tiia.i.;;31 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;5;218115;-300.0;-3;[143468];[143471];1;dono;1;1;[143471];0
143474;2403;3386;1;143474;3;re.i.tiia.i.;reitiiai;OBJ;143473;1470535.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;ada.n. dona.s.to re.i.tiia.i. vhetiana .o.tnia;;32 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;5;218116;-300.0;-3;[143473];[143474];1;dono;1;1;[143474];0
143484;2405;3388;1;143484;3;re.i.tiia.i.;reitiiai;OBJ;143483;1470538.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;mego dona.s.to re.i.tiia.i. / ner.ka lemeto.r.na;;34 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;5;218118;-300.0;-3;[143483];[143484];1;dono;1;1;[143484];0
143491;2406;3389;1;143491;4;re.i.tiia.i.;reitiiai;OBJ;143490;1470536.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;mego ahugiia dona.s.to re.i.tiia.i.;;35 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;4;218119;-300.0;-3;[143490];[143491];1;dono;1;1;[143491];0
143495;2407;3390;1;143495;4;re.i.tiiai.;reitiiai;OBJ;143494;1470552.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;vhugiia so.u.v.na ton.a.s.to re.i.tiiai.;;36 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;4;218120;-300.0;-3;[143494];[143495];1;dono;1;1;[143495];0
143501;2408;3391;1;143501;5;śa.i.n. ś. śe.i.;sainssei;OBJ;143497;1470237.0;14617a;14617;21.0;Venetic;I-stem;adjective;-;-;-;-;-;singular;F;DAT;-;a-s---fd-;F-dat-sg;Saenatis;PROPER;THEONYM;Saenatis;Saenati;-;-;-;mego dona.s.to vhugiia vho.u.go.n.tiiaka / śa.i.n. ś. śe.i. re.i.tiia.i.;;37 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;6;218121;-300.0;-3;[143497];[143501];2;dono;1;1;[143501];0
143506;2409;3392;1;143506;2;re.i.tia.i.;reitiai;OBJ;143507;1470525.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;mego re.i.tia.i. dona.s.to vhugia.i. va.n.tkeniạ[...;;38 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;5;218122;-300.0;-3;[143507];[143506];1;dono;1;0;[143506];0
143516;2410;3393;1;143516;5;ś.i.natii;sinatii;OBJ;143515;1470254.0;14617a;14617;21.0;Venetic;I-stem;adjective;-;-;-;-;-;singular;F;DAT;-;a-s---fd-;F-dat-sg;Saenatis;PROPER;THEONYM;Saenatis;Saenati;-;-;-;vho.u.go.n.ta lemeto.r.na [.e.]b[.] (?) / dona.s.to ś.i.natii p[---]. ś.;;38bis (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;7;218123;-300.0;-3;[143515];[143516];1;dono;1;1;[143516];0
143528;2414;3397;1;143528;5;re.i./tiia.i.;reitiiai;OBJ;143527;1470549.0;14612a;14612;32.0;Venetic;A-stem;noun;-;-;-;-;-;singular;F;DAT;-;n-s---fd-;F-dat-sg;Reitia;PROPER;THEONYM;Reitia;Reitiae;-;-;-;vda.n. ka.n.ta mnkna dona.s.to re.i./tiia.i.;;42 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;5;218127;-300.0;-3;[143527];[143528];1;dono;1;1;[143528];0
143541;2417;3400;1;143541;6;śa.i.nate.i.;sainatei;OBJ;143537;1470247.0;14617a;14617;21.0;Venetic;I-stem;adjective;-;-;-;-;-;singular;F;DAT;-;a-s---fd-;F-dat-sg;Saenatis;PROPER;THEONYM;Saenatis;Saenati;-;-;-;mego dona.s.to ka.n.t/e.s. vo.t.te.i.iio.s. a.ku/t.s. śa.i.nate.i. re.i.t/iia.i. (vac.);;44 (Manuel de la langue Vénète);;Venetic;Indo-European::Italic;Venetic;Venetic;-599.0;-1.0;Ateste (Este);;45.2224171;11.5898338;True;True;7;218129;-300.0;-3;[143537];[143541];2;dono;1;1;[143541];0
