;Text_ID;Sentence_ID;Sentence_position;Token_ID;Token_position;Token;Token_clean;Relation;Head;Analysis_ID;Lemma;Lemma_simplex;Lemma_frequency;Language;Morphological_type;Part_of_speech;Stem;Tense;Mood;Diathesis;Person;Number;Gender;Case;Category;POS;Tags;Meaning;Meaning_category;Meaning_subcategory;Classical_Latin_equivalent;Classical_Latin_Form;TAM_analysis;Standard_aligned;Form_aligned;Sentence;Section;Reference;Name;Language_(text);Language_family;Language_variety;Script;Date_after;Date_before;Provenance;GeoID;Latitude;Longitude;Finite_verb;Analysable_token;Text_length;Trismegistos_ID;Date;Century;Heads;Siblings;Constituent;Verbal_head;Main_clause;Order;Check;Konneker
157272;995;1426;357;157272;6;buf.;buf;OBJ;157274;202927.0;10246a;10246;17.0;Umbrian;IRR;noun;-;-;-;-;-;plural;M;ACC;-;n-p---ma-;M-acc-pl;ox;ANIMAL;-;bos;boves;-;bowf;bu-f;22 pre. uereir. treblaneir. iuue. grabouei. buf. treif. fetu.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157274];[157272];2;facio;1;0;[157272];0
157278;995;1428;359;157278;1;teio.;teio;OBJ;157279;202933.0;11508a;11508;47.0;Umbrian;IRR;adjective;-;-;-;-;-;singular;M;ACC;-;a-s---ma-;M-acc-sg;you;-;-;tu;te;-;teeom;teio-;22 teio. subocau. suboco / 23 dei graboui. ocriper. fisiu. totaper. iiouina. erer. nomneper. erar. nomneper.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157279];[157278];1;invoco;1;0;[157278];0
157305;995;1430;361;157305;2;tio.;tio;OBJ;157306;202960.0;11508a;11508;47.0;Umbrian;IRR;adjective;-;-;-;-;-;singular;M;ACC;-;a-s---ma-;M-acc-sg;you;-;-;tu;te;-;teeom;ti-o-;24 arsie. tio. subocau. suboco. dei. graboue.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157306];[157305];1;invoco;1;0;[157305];0
157312;995;1431;362;157312;3;tio.;tio;OBJ;157313;202967.0;11508a;11508;47.0;Umbrian;IRR;adjective;-;-;-;-;-;singular;M;ACC;-;a-s---ma-;M-acc-sg;you;-;-;tu;te;-;teeom;ti-o-;24 arsier. frite. tio. subocau / 25 suboco. dei. graboue. di. grabouie. tio. esu. bue. peracrei. pihaclu. ocreper. fisiu. totaper. iouina. irer. nomneper / 26 erar. nomneper.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157313];[157312];1;invoco;1;0;[157312];0
157319;995;1431;362;157319;10;tio.;tio;OBJ;157313;202974.0;11508a;11508;47.0;Umbrian;IRR;adjective;-;-;-;-;-;singular;M;ACC;-;a-s---ma-;M-acc-sg;you;-;-;tu;te;-;teeom;ti-o-;24 arsier. frite. tio. subocau / 25 suboco. dei. graboue. di. grabouie. tio. esu. bue. peracrei. pihaclu. ocreper. fisiu. totaper. iouina. irer. nomneper / 26 erar. nomneper.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157313];[157319];1;invoco;1;1;[157319];0
157386;995;1434;365;157386;4;ocre.;ocre;OBJ;157385;203041.0;10976a;10976;73.0;Umbrian;I-stem;noun;-;-;-;-;-;singular;M;ACC;-;n-s---ma-;M-acc-sg;citadel;BUILDING;-;arx;arcem;-;okrim;ocre-;29 di. grabouie. pihatu. ocre. fisei. pihatu. tata. iouina.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157385];[157386];2;pio;1;1;[157386];0
157389;995;1435;366;157389;2;tata.;tata;OBJ;157388;203044.0;11551a;11551;139.0;Umbrian;A-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;state;POLITICS;-;populus;populum;-;towtaam;ta-ta--;29 di. grabouie. pihatu. ocre. fisei. pihatu. tata. iouina.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157388];[157389];2;pio;1;1;[157389];0
157398;995;1436;367;157398;8;nome.;nome;OBJ;157393;203053.0;10930a;10930;99.0;Umbrian;C-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;name;-;-;nomen;nomen;-;noomen;no-me-;29 di. grabouie. pihatu. ocrer / 30 fisier. totar. iouinar. nome.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157393];[157398];2;pio;1;1;[157398];0
157399;995;1437;368;157399;1;nerf.;nerf;OBJ_CO;319891;203054.0;10914a;10914;18.0;Umbrian;C-stem;noun;-;-;-;-;-;plural;M;ACC;-;n-p---ma-;M-acc-pl;man;HUMAN;-;vir;viros;-;neerf;ne-rf;30 nerf. arsmo. ueiro pequo. castruo. fri. pihatu.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157405];[157399, 157400, 157401, 157402, 157403, 157404];6;pio;1;0;[157399, 157400, 157401, 157402, 157403, 157404];0
157423;995;1439;370;157423;5;ocre.;ocre;OBJ;157422;203078.0;10976a;10976;73.0;Umbrian;I-stem;noun;-;-;-;-;-;singular;M;ACC;-;n-s---ma-;M-acc-sg;citadel;BUILDING;-;arx;arcem;-;okrim;ocre-;31 di. grabouie. saluo. seritu. ocre. fisi. salua. seritu. tota. iiouina.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157422];[157423];2;servo;1;1;[157423];0
157427;995;1440;371;157427;3;tota.;tota;OBJ;157426;203082.0;11551a;11551;139.0;Umbrian;A-stem;noun;-;-;-;-;-;singular;F;ACC;-;n-s---fa-;F-acc-sg;state;POLITICS;-;populus;populum;-;towtaam;to-ta--;31 di. grabouie. saluo. seritu. ocre. fisi. salua. seritu. tota. iiouina.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157426];[157427];2;servo;1;1;[157427];0
157437;995;1441;372;157437;9;nome.;nome;OBJ;157432;203092.0;10930a;10930;99.0;Umbrian;C-stem;noun;-;-;-;-;-;singular;N;ACC;-;n-s---na-;N-acc-sg;name;-;-;nomen;nomen;-;noomen;no-me-;31 di / 32 grabouie. saluo. seritu. ocrer. fisier. totar. iiouinar. nome.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157432];[157437];2;servo;1;1;[157437];0
157438;995;1442;373;157438;1;nerf.;nerf;OBJ_CO;319893;203093.0;10914a;10914;18.0;Umbrian;C-stem;noun;-;-;-;-;-;plural;M;ACC;-;n-p---ma-;M-acc-pl;man;HUMAN;-;vir;viros;-;neerf;ne-rf;32 nerf. arsmo. ueiro. pequo. castruo. fri. salua / 33 seritu.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157445];[157438, 157439, 157440, 157441, 157442, 157443];6;servo;1;0;[157438, 157439, 157440, 157441, 157442, 157443];0
157461;995;1444;375;157461;3;tio.;tio;OBJ;157478;203116.0;11508a;11508;47.0;Umbrian;IRR;adjective;-;-;-;-;-;singular;M;ACC;-;a-s---ma-;M-acc-sg;you;-;-;tu;te;-;teeom;ti-o-;33 di. grabouie. tio. esu. bue / 34 peracri. pihaclu. ocreper. fisiu. totaper. iouina. erer. nomneper. erar. nomneper. di. grabouie. tio. subocau;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157478];[157461];1;invoco;1;0;[157461];0
157477;995;1444;375;157477;22;tio.;tio;OBJ;157478;203132.0;11508a;11508;47.0;Umbrian;IRR;adjective;-;-;-;-;-;singular;M;ACC;-;a-s---ma-;M-acc-sg;you;-;-;tu;te;-;teeom;ti-o-;33 di. grabouie. tio. esu. bue / 34 peracri. pihaclu. ocreper. fisiu. totaper. iouina. erer. nomneper. erar. nomneper. di. grabouie. tio. subocau;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157478];[157477];1;invoco;1;0;[157477];0
157550;995;1448;379;157550;4;ocre.;ocre;OBJ;157549;203205.0;10976a;10976;73.0;Umbrian;I-stem;noun;-;-;-;-;-;singular;M;ACC;-;n-s---ma-;M-acc-sg;citadel;BUILDING;-;arx;arcem;-;okrim;ocre-;38 di. grabouie / 39 pihatu. ocre. fisi.;Table 6a (Latin alphabet);;Iguvine Tables;Umbrian;Indo-European::Italic::Latino-Sabellic::Sabellic;Umbrian;Umbrian/Latin;-100;-150;Iguvium (Gubbio);11852.0;43.355464;12.573438;True;True;4620;171820;-125.0;-1;[157549];[157550];2;pio;1;1;[157550];0
