;Token_ID;Lemma;Token;Children;Relation;POS;Category;AuxY;Language;Date_before;Date_after;Sentence;Proper;Verbs;Nouns;Polysyndeton;Bisyndeton;Minus_one;Strategy
43;514408;13568a;que;2;SBJ_CO;noun;BUILDING;0;Latin;-27.0;-299.0;A(ulus) Hirtius A(uli) f(ilius) M(arcus) Lollius C(ai) f(ilius) ce(n)sores fundamenta murosque af solo faciunda coerave(re) eidemque probavere;0;0;1;0;0;1;S
44;514409;13568a;que;2;PRED_CO;verb;-;0;Latin;-27.0;-299.0;A(ulus) Hirtius A(uli) f(ilius) M(arcus) Lollius C(ai) f(ilius) ce(n)sores fundamenta murosque af solo faciunda coerave(re) eidemque probavere;0;1;0;0;0;1;S
45;515110;;-;2;SBJ_CO;noun;PROPER;0;Latin;-27.0;-299.0;A(ulus) Hirtius A(uli) f(ilius) M(arcus) Lollius C(ai) f(ilius) ce(n)sores fundamenta murosque af solo faciunda coerave(re) eidemque probavere;1;0;0;0;0;1;A
46;514410;13568a;que;2;PRED_CO;verb;-;0;Latin;-27.0;-299.0;M(arcus) Lollius C(ai) f(ilius) A(ulus) Hirtius A(uli) f(ilius) ce(n)s(ores) funda(menta) / faciunda coeraverunt eidemque probavere;0;1;0;0;0;1;S
47;515111;;-;2;SBJ_CO;noun;PROPER;0;Latin;-27.0;-299.0;M(arcus) Lollius C(ai) f(ilius) A(ulus) Hirtius A(uli) f(ilius) ce(n)s(ores) funda(menta) / faciunda coeraverunt eidemque probavere;1;0;0;0;0;1;A
48;514411;13568a;que;2;PRED_CO;verb;-;0;Latin;-27.0;-299.0;A(ulus) Hirtius A(uli) f(ilius) M(arcus) Lollius C(ai) f(ilius) ce(n)s(ores) fundamenta / fornices faciunda coeravere eidemque / probavere;0;1;0;0;0;1;S
49;515112;;-;2;SBJ_CO;noun;PROPER;0;Latin;-27.0;-299.0;A(ulus) Hirtius A(uli) f(ilius) M(arcus) Lollius C(ai) f(ilius) ce(n)s(ores) fundamenta / fornices faciunda coeravere eidemque / probavere;1;0;0;0;0;1;A
50;515113;;-;2;SBJ_CO;noun;BUILDING;0;Latin;-27.0;-299.0;A(ulus) Hirtius A(uli) f(ilius) M(arcus) Lollius C(ai) f(ilius) ce(n)s(ores) fundamenta / fornices faciunda coeravere eidemque / probavere;0;0;1;0;0;1;A
51;225207;12472a;et;2;SBJ_CO;noun;BUILDING;0;Latin;-27.0;-299.0;[T]i(berius) Messius Q(uinti) f(ilius) C(aius) Acilius M(arci) f(ilius) / [C]n(aeus) Mevius Cn(aei) f(ilius) aid(iles) murum / et aream claudendam ex / sen(atus) sen(tentia) faciundum curavere / eisdemque probavere;0;0;1;0;0;1;P
52;514412;13568a;que;2;PRED_CO;verb;-;0;Latin;-27.0;-299.0;[T]i(berius) Messius Q(uinti) f(ilius) C(aius) Acilius M(arci) f(ilius) / [C]n(aeus) Mevius Cn(aei) f(ilius) aid(iles) murum / et aream claudendam ex / sen(atus) sen(tentia) faciundum curavere / eisdemque probavere;0;1;0;0;0;1;S
53;515114;;-;3;SBJ_CO;noun;PROPER;0;Latin;-27.0;-299.0;[T]i(berius) Messius Q(uinti) f(ilius) C(aius) Acilius M(arci) f(ilius) / [C]n(aeus) Mevius Cn(aei) f(ilius) aid(iles) murum / et aream claudendam ex / sen(atus) sen(tentia) faciundum curavere / eisdemque probavere;1;0;0;1;0;0;A
